NOM USAGE,IDENTIFIANT UNIQUE,DESCRIPTION,TAGS,NOM OBJET,IDENTIFIANT OBJET,CONTROLEUR LUMIERE OBJET,BROCHE LUMIERE OBJET,NOM PIECE,IDENTIFIANT PIECE,COULEUR,POSITION,BROCHE RUBAN LED
Communiquer par email,4eca0367-0e61-4191-a501-c65230ed5e05,"L'email permet des échanges rapides et peu coûteux tout en conservant une trace écrite et la possibilité de transmettre des pièces jointes. Cependant, la sécurité et la confidentialité sont à prendre en compte, surtout pour les personnes en situation de fracture numérique. La sensibilisation aux bonnes pratiques et la réduction de la fracture numérique sont essentielles pour garantir un accès équitable aux services publics.",communication;numérique;traces,Boite aux lettres,074405cd-6989-4261-93fc-1db9224393c7,,,Entrée,ffd4bfd0-3977-4e1a-9124-da530eb522bb,,0,
"Avoir une bonne sécurité informatique (mot de passe, etc.)",75881718-fda1-4024-b049-3975288b4446,"Pour garantir une bonne sécurité informatique, il est essentiel de choisir des mots de passe solides et uniques pour chaque compte. Il est également important de les mettre à jour régulièrement et d'activer la double authentification lorsque possible. Enfin, il convient de rester vigilant face aux tentatives d'hameçonnage et de ne pas cliquer sur des liens ou télécharger des fichiers suspects.
",numérique;vigilance;sécurité,La porte d'entrée,3ee4272a-3584-4d83-b0c4-f414319da328,,,Entrée,ffd4bfd0-3977-4e1a-9124-da530eb522bb,,0,
"Composter, cultiver son potager",d36abff1-b458-4a23-910b-438d94a1bc2e,"Composter, c'est transformer les déchets organiques en engrais naturel. Cultiver son potager, c'est produire des aliments frais et sains de manière respectueuse de l'environnement.",compostage;potager;cultiver,Arrosoir,ec09f268-e1a8-4d76-8909-b986c6601ffb,,,Jardin,c36a8e9f-5aff-4c17-9fc0-f174abca030e,#FDD0B9,0,
Prendre soin des plantes,bc168278-6adf-4bab-892d-36d5b6773856,"Prendre soin des plantes, c'est leur fournir un environnement sain, les nourrir et les protéger pour favoriser leur croissance et profiter des bienfaits qu'elles offrent.",beauté;plantes,Jardinière,1e9e42c9-b5ba-4195-8ec5-5989175e7f1b,,,Jardin,c36a8e9f-5aff-4c17-9fc0-f174abca030e,#FDD0B9,0,
Se connecter à la nature,9dd606a9-40ce-4505-861e-6feb5d9833e7,"Prendre le temps de s'immerger dans la nature permet de développer un sentiment de respect et de responsabilité envers notre planète, ainsi qu'une prise de conscience de notre interdépendance avec les écosystèmes qui nous soutiennent. Cela est bénéfique pour l'équilibre mental et émotionnel et permet de s'inspirer à travers la beauté et la sagesse de la nature.",s'aerer;sortir;promenade;nature,Jardinière,1e9e42c9-b5ba-4195-8ec5-5989175e7f1b,,,Jardin,c36a8e9f-5aff-4c17-9fc0-f174abca030e,#FDD0B9,0,
Connecter à son voisinage,9bfcf82f-0154-4282-a140-486c072200a1,"Créer des liens de confiance et de soutien mutuel avec les personnes du voisinage favorise un sentiment d'appartenance à une communauté solidaire et bienveillante, renforçant ainsi le sentiment de sécurité. Cela peut être réalisé par la participation à des événements communautaires, des conversations informelles et l'offre d'aide aux autres.",entraide;lien;social,Portail,76ca8438-7dc0-463d-b48c-62fe1d1d0512,,,Jardin,c36a8e9f-5aff-4c17-9fc0-f174abca030e,#FDD0B9,0,
Prendre soin des animaux,7ded88dd-f4ac-429c-9cbd-e8c23abab1e7,"Prendre soin des animaux implique de les traiter avec compassion, de les écouter et de répondre à leurs besoins émotionnels. Savoir s'occuper de leur bien-être physique et psychologique en leur offrant une nourriture appropriée, un abri confortable et sécurisé, ainsi qu'une attention régulière.",chien;chat;animaux,La niche,3aa27006-828c-49fa-88af-0e89516ecb08,,,Jardin,c36a8e9f-5aff-4c17-9fc0-f174abca030e,#FDD0B9,0,
"Faire ses courses, commander, se faire livrer, acheter en proximité",bd28e8a0-c21b-47de-8de5-ffffd947a347,"Faire ses courses en ligne peut être pratique et éviter les déplacements. Les achats en proximité sont également une option, avec des services de livraison ou de drive.",ecommerce;acheter-local,Cagibi,89f307e7-e867-41d5-a189-fcc168933681,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
S’informer sur la provenance et la constitution de ses aliments,269c9853-a39f-488a-b338-448f7221fe9b,"Il est important de savoir d'où viennent nos aliments et leur composition pour notre santé. Internet offre des informations précieuses, mais il est également important de vérifier la fiabilité des sources utilisées.",s'informer;s'alimenter;ecologie;bio;santé,Cagibi,89f307e7-e867-41d5-a189-fcc168933681,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
Créer sois-même ses produits d’entretiens,e80fae24-a9b7-4a3a-b18e-f27066ff0f5e,"Le numérique peut aider à trouver des recettes pour fabriquer soi-même ses produits d'entretien à partir d'ingrédients simples et écologiques. Cependant il est important de respecter les normes de sécurité environnementales et de stockage des produits utilisés, pour éviter tout risque pour la santé ou l'environnement.",nettoyer;pollution;doityourself,Évier,32be3aad-923a-42a6-af0b-f03e58a85b51,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
